ファイル名,認識結果,信頼度,個別予測,個別信頼度
星光合否判定テスト_採点前_37_mosaic,01805167,0.9891,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[0, 0, 0]|[5, 5, 5]|[1, 1, 1]|[6, 6, 6]|[7, 7, 7]","[0.9999966621398926, 0.9999966621398926, 0.9999275207519531]|[1.0, 1.0, 0.9999998807907104]|[0.9136921763420105, 0.9166439175605774, 0.928889811038971]|[0.9999946355819702, 0.9999946355819702, 0.9999946355819702]|[0.999184787273407, 0.9881961941719055, 0.9995051622390747]|[1.0, 0.9999998807907104, 1.0]|[0.9999743700027466, 0.9998854398727417, 0.9998823404312134]|[0.9977824091911316, 0.9977824091911316, 0.9977824091911316]"
星光合否判定テスト_採点前_7_mosaic,01721393,0.9792,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[2, 2, 2]|[1, 1, 1]|[3, 3, 3]|[9, 9, 9, 9, 9, 9, 4, 4, 9, 4, 9, 4, 9, 9, 4, 9, 4, 9, 4, 9, 9, 9, 9, 9, 4, 9, 9]|[3, 3, 3]","[0.9998501539230347, 0.9999769926071167, 0.9999873638153076]|[0.9999994039535522, 0.9999995231628418, 0.9999994039535522]|[0.9999587535858154, 0.999863862991333, 0.9998898506164551]|[0.9999412298202515, 0.9999412298202515, 0.999321699142456]|[0.9999983310699463, 0.9999924898147583, 0.9999983310699463]|[1.0, 1.0, 1.0]|[0.7913886308670044, 0.9537616968154907, 0.8405561447143555, 0.9496827125549316, 0.5281946063041687, 0.8858677744865417, 0.7021409273147583, 0.9465473890304565, 0.5765189528465271, 0.9663483500480652, 0.9784696102142334, 0.6931777000427246, 0.9094148278236389, 0.7544997334480286, 0.5114776492118835, 0.8911474347114563, 0.673198938369751, 0.9755364656448364, 0.8997335433959961, 0.9771726727485657, 0.8659341335296631, 0.9291612505912781, 0.8623982071876526, 0.980901300907135, 0.9127440452575684, 0.7555267810821533, 0.8091419339179993]|[0.9999997615814209, 0.9999995231628418, 0.9999998807907104]"
星光合否判定テスト_採点前_29_mosaic,01992986,0.9482,"[0, 0, 0]|[1, 1, 1]|[7, 9, 9, 9, 9, 9, 9, 9, 9, 7, 9, 7, 9, 9, 9, 9, 9, 9, 9, 0, 9, 9, 9, 9, 9, 4, 9]|[9, 9, 9]|[2, 2, 2]|[9, 9, 9]|[8, 8, 8]|[6, 6, 6]","[0.9999697208404541, 0.9999697208404541, 0.9997643828392029]|[0.9999998807907104, 0.9999997615814209, 0.9999994039535522]|[0.566167414188385, 0.7171823382377625, 0.535345196723938, 0.543616533279419, 0.8307346105575562, 0.7833965420722961, 0.9254433512687683, 0.9120996594429016, 0.39192190766334534, 0.37489622831344604, 0.41678154468536377, 0.5649614334106445, 0.42892053723335266, 0.3853873014450073, 0.7304589748382568, 0.9170968532562256, 0.7470473647117615, 0.48166465759277344, 0.9196797609329224, 0.6806568503379822, 0.41605299711227417, 0.8010009527206421, 0.8103427290916443, 0.9084421992301941, 0.8427899479866028, 0.5078704357147217, 0.6177025437355042]|[0.9490381479263306, 0.9500579833984375, 0.9490381479263306]|[0.9929823875427246, 0.9848376512527466, 0.9896156787872314]|[0.9865707755088806, 0.9934349060058594, 0.9898588061332703]|[0.9999985694885254, 0.9999922513961792, 0.9999997615814209]|[0.9999984502792358, 0.9997866749763489, 0.999985933303833]"
星光合否判定テスト_採点前_13_mosaic,01749714,0.9386,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[4, 4, 4, 4, 6, 6, 4, 6, 4, 4, 4, 4, 4, 6, 8, 4, 6, 6, 4, 4, 4, 4, 6, 8, 4, 6, 4]|[9, 9, 9]|[7, 7, 7]|[1, 1, 1, 1, 8, 1, 1, 1, 8, 8, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 8, 1, 1, 1, 1, 8]|[4, 4, 4]","[0.9999995231628418, 0.9999995231628418, 0.9999998807907104]|[0.998637855052948, 0.9903303384780884, 0.9988467693328857]|[0.9987994432449341, 0.9987994432449341, 0.9987994432449341]|[0.972618043422699, 0.6564956307411194, 0.9564200043678284, 0.8462598323822021, 0.794670045375824, 0.5769787430763245, 0.9531460404396057, 0.7254906296730042, 0.7611770033836365, 0.7472310066223145, 0.44990044832229614, 0.9809643626213074, 0.8469374775886536, 0.8024151921272278, 0.38907569646835327, 0.8389932513237, 0.5354686379432678, 0.6384146809577942, 0.7757004499435425, 0.8502181768417358, 0.9846071600914001, 0.5321013331413269, 0.8292590379714966, 0.7824182510375977, 0.4438875913619995, 0.6128900647163391, 0.9753552079200745]|[0.9976601600646973, 0.9983225464820862, 0.9976601600646973]|[0.9997357726097107, 0.9996873140335083, 0.9993643164634705]|[0.9819962978363037, 0.9674609303474426, 0.967754602432251, 0.9491233825683594, 0.4457312524318695, 0.6889798641204834, 0.8442975878715515, 0.6833683848381042, 0.777755856513977, 0.7228057384490967, 0.9474209547042847, 0.7220366597175598, 0.9507846236228943, 0.657002329826355, 0.7350242137908936, 0.823223888874054, 0.5851379632949829, 0.5892849564552307, 0.8981475234031677, 0.9683372974395752, 0.7409099340438843, 0.8444921374320984, 0.7141212821006775, 0.6554372310638428, 0.5741631984710693, 0.9497607350349426, 0.8311625719070435]|[0.9733649492263794, 0.9733649492263794, 0.9937777519226074]"
星光合否判定テスト_採点前_17_mosaic,01980565,0.9139,"[0, 0, 0]|[1, 1, 1]|[9, 7, 7, 9, 9, 9, 9, 7, 7, 9, 7, 9, 9, 9, 9, 9, 7, 1, 4, 7, 7, 9, 1, 9, 9, 7, 7]|[8, 8, 8]|[0, 0, 0]|[5, 5, 5, 9, 4, 9, 5, 5, 5, 5, 5, 5, 9, 4, 9, 9, 5, 5, 5, 5, 5, 9, 9, 9, 5, 9, 5]|[6, 6, 6]|[5, 5, 5]","[0.9999997615814209, 0.9999997615814209, 0.9999977350234985]|[1.0, 0.9999990463256836, 0.9999996423721313]|[0.8210563659667969, 0.9048550724983215, 0.39528200030326843, 0.7996646761894226, 0.7387484312057495, 0.7665479183197021, 0.6842093467712402, 0.42665645480155945, 0.506245493888855, 0.8540200591087341, 0.874444305896759, 0.39688849449157715, 0.7009670734405518, 0.29939374327659607, 0.7136394381523132, 0.9074215888977051, 0.47679969668388367, 0.3343660533428192, 0.6840145587921143, 0.8959510922431946, 0.41857048869132996, 0.8358615636825562, 0.31929925084114075, 0.4222989082336426, 0.7138567566871643, 0.42665645480155945, 0.4625702500343323]|[0.9089133739471436, 0.9089133739471436, 0.9829390048980713]|[1.0, 1.0, 1.0]|[0.8030056357383728, 0.9907771348953247, 0.9998620748519897, 0.749644935131073, 0.37165164947509766, 0.691497802734375, 0.9770068526268005, 0.9965729713439941, 0.9452895522117615, 0.9671139121055603, 0.997012734413147, 0.9991658926010132, 0.462762713432312, 0.485965758562088, 0.4498090147972107, 0.5516273975372314, 0.5008930563926697, 0.5162621736526489, 0.908302903175354, 0.9440088272094727, 0.9998425245285034, 0.6467010974884033, 0.5001070499420166, 0.42965295910835266, 0.9136541485786438, 0.6617584824562073, 0.9452895522117615]|[0.9999915361404419, 0.9999915361404419, 0.9999997615814209]|[0.9999995231628418, 1.0, 0.9999736547470093]"
星光合否判定テスト_採点前_33_mosaic,01801293,0.9596,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[0, 0, 0]|[1, 1, 1]|[2, 2, 2]|[9, 9, 4, 1, 9, 9, 4, 9, 9, 9, 9, 9, 1, 1, 9, 9, 9, 9, 9, 9, 9, 9, 9, 1, 9, 9, 9]|[3, 3, 3]","[0.999940037727356, 0.999940037727356, 0.999940037727356]|[0.9999953508377075, 0.9999969005584717, 0.9999951124191284]|[0.9997727274894714, 0.9996545314788818, 0.9998149275779724]|[0.9999997615814209, 0.9999997615814209, 0.9999997615814209]|[0.9999998807907104, 0.9999998807907104, 0.9999997615814209]|[0.9991208910942078, 0.9996004700660706, 0.9991208910942078]|[0.5993877649307251, 0.6179285645484924, 0.44932883977890015, 0.49899208545684814, 0.4485331177711487, 0.622977077960968, 0.7080257534980774, 0.7949843406677246, 0.8042476177215576, 0.9166748523712158, 0.8060305118560791, 0.5630260705947876, 0.6744536757469177, 0.4230649471282959, 0.44669052958488464, 0.7672679424285889, 0.7136382460594177, 0.6932085156440735, 0.8930511474609375, 0.7040740251541138, 0.9317830801010132, 0.5374253392219543, 0.5249391794204712, 0.8240185976028442, 0.6692933440208435, 0.7166954874992371, 0.9595478177070618]|[0.9999988079071045, 0.9999945163726807, 0.9999988079071045]"
星光合否判定テスト_採点前_50_mosaic,01825847,0.9782,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[2, 2, 2]|[5, 5, 5]|[8, 8, 8]|[4, 4, 4, 4, 9, 9, 8, 4, 4, 4, 4, 4, 8, 9, 9, 8, 4, 4, 4, 4, 4, 8, 8, 9, 8, 4, 4]|[7, 7, 7]","[0.9999995231628418, 0.9999995231628418, 0.999998927116394]|[0.9999996423721313, 0.9999996423721313, 0.9999996423721313]|[0.9999994039535522, 0.9999994039535522, 0.999925971031189]|[1.0, 1.0, 0.9999902248382568]|[0.9999098777770996, 0.9997988343238831, 0.9993801116943359]|[0.9998327493667603, 0.9999668598175049, 0.9999823570251465]|[0.9757828712463379, 0.9751635193824768, 0.9998539686203003, 0.7464746832847595, 0.9407332539558411, 0.7544777989387512, 0.9806098341941833, 0.8739598989486694, 0.6417206525802612, 0.9757828712463379, 0.8992884755134583, 0.9998575448989868, 0.826745331287384, 0.658394455909729, 0.8150296807289124, 0.9994433522224426, 0.9296190142631531, 0.7938456535339355, 0.9864429235458374, 0.9429830312728882, 0.9998575448989868, 0.5865901112556458, 0.2872579097747803, 0.72991943359375, 0.5067816376686096, 0.9068857431411743, 0.5639969110488892]|[0.9999926090240479, 0.9999915361404419, 0.9999873638153076]"
星光合否判定テスト_採点前_3_mosaic,01696289,0.9930,"[0, 0, 0]|[1, 1, 1]|[6, 6, 6]|[9, 9, 9]|[6, 6, 6]|[3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2]|[8, 8, 8]|[9, 9, 9]","[0.9999977350234985, 0.9999991655349731, 1.0]|[0.9999998807907104, 0.9999998807907104, 0.9999998807907104]|[0.9999881982803345, 0.9999881982803345, 0.9999973773956299]|[0.9980667233467102, 0.9960592985153198, 0.9980667233467102]|[0.9722800850868225, 0.9978378415107727, 0.9565119743347168]|[0.9686288833618164, 0.9999239444732666, 0.9860584139823914, 0.9211742877960205, 0.999966025352478, 0.9994309544563293, 0.9936927556991577, 0.9999840259552002, 0.997730553150177, 0.9886884093284607, 0.9999866485595703, 0.9291523098945618, 0.9870713353157043, 0.9999840259552002, 0.9971106052398682, 0.9994696974754333, 0.999919056892395, 0.9987688660621643, 0.8999444246292114, 0.9999938011169434, 0.9868892431259155, 0.9981683492660522, 0.9953468441963196, 0.9998369216918945, 0.6708354353904724, 0.9999873638153076, 0.9917479753494263]|[0.9999463558197021, 0.9999563694000244, 0.9999936819076538]|[0.9980682730674744, 0.9976874589920044, 0.9948263764381409]"
星光合否判定テスト_採点前_21_mosaic,01777903,0.9946,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[7, 7, 7]|[7, 7, 7]|[9, 9, 9]|[0, 0, 0]|[3, 3, 3]","[0.9998676776885986, 0.9997357726097107, 0.9999774694442749]|[0.9999992847442627, 0.9999980926513672, 0.9999992847442627]|[0.9979367256164551, 0.9979367256164551, 0.9673014879226685]|[0.9994899034500122, 0.9998007416725159, 0.9994899034500122]|[0.9779415130615234, 0.9970312118530273, 0.9928687214851379]|[0.9849313497543335, 0.9849313497543335, 0.9849313497543335]|[0.9965946078300476, 0.9965946078300476, 0.9934161901473999]|[0.9996331930160522, 0.9996331930160522, 0.9996331930160522]"
星光合否判定テスト_採点前_42_mosaic,01812584,0.9905,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[1, 1, 1]|[2, 2, 2]|[5, 5, 5]|[8, 8, 8]|[4, 4, 4]","[0.9284489750862122, 0.9284489750862122, 0.9284489750862122]|[0.9999996423721313, 0.9999997615814209, 0.9999991655349731]|[1.0, 1.0, 1.0]|[0.9999992847442627, 0.9999992847442627, 0.9999995231628418]|[0.9971278309822083, 0.9971278309822083, 0.9971278309822083]|[1.0, 1.0, 1.0]|[0.9999996423721313, 0.9999996423721313, 0.999995231628418]|[0.9992400407791138, 0.9992400407791138, 0.9968333840370178]"
